순번,요리분류,음식명,인분,출처,재료명1,코드1,용량1,재료명2,코드2,용량2,재료명3,코드3,용량3,재료명4,코드4,용량4,재료명5,코드5,용량5,재료명6,코드6,용량6,재료명7,코드7,용량7,재료명8,코드8,용량8,재료명9,코드9,용량9,재료명10,코드10,용량10,재료명11,코드11,용량11,재료명12,코드12,용량12,재료명13,코드13,용량13,재료명14,코드14,용량14,재료명15,코드15,용량15,재료명16,코드16,용량16,재료명17,코드17,용량17,재료명18,코드18,용량18,재료명19,코드19,용량19,재료명20,코드20,용량20
428,식사,아몬드참깨드레싱,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,두유(대두),D0170000009a,200.0,아몬드,E0200000001a,50.0,사과식초,R0220030009a,7.5,흰깨,E0260020009n,6.0,미숫가루,A0250030005a,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,식사,참치낫토채소밥,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,다랑어(통조림),K039001000Sa,80.0,나토,R0100000009a,45.0,현미밥,A013000A069a,80.0,깻잎,F049000B140a,10.0,양파,F1320000000a,45.0,케첩,R0380010009a,2.0,고춧가루,R0070000005a,2.0,흑후추,R0410010005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,식사,마늘달걀토스트,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,식빵,A0210120009a,35.0,달걀,J0030000000a,55.0,마늘,F053000B060a,24.0,버터,N0080000009a,10.0,모짜렐라치즈,M0100020009a,10.0,꿀,C0030000009a,7.5,마요네즈,R0150010009a,15.0,파슬리,F1930000000a,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,식사,고구마병아리콩수프,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,고구마,B006018B020a,90.0,양파,F1320000000a,45.0,병아리콩,D0210010001a,40.0,마카다미아,E012000000Dn,15.0,우유(저지방),M0090040009a,200.0,체다치즈,M0100040009a,9.0,소금,R0200000009a,1.0,흑후추,R0410010005a,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,식사,마늘종베이컨볶음밥,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,달걀,J0030000000a,110.0,현미밥,A013000A069a,80.0,베이컨,I0210000009a,20.0,양파,F1320000000a,60.0,마늘종,F055000B080a,40.0,올리브유,N0170000009a,10.0,소금,R0200000009a,2.0,흑후추,R0410010005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,식사,달걀지단부리또,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,달걀,J0030000000a,110.0,현미밥,A013000A069a,100.0,깻잎,F049000B140a,8.0,청상추,F1010032490a,15.0,토마토,F1860000000a,60.0,당근,F041000B090a,20.0,양파,F1320000000a,20.0,양송이버섯,G0180000000a,10.0,체다치즈,M0100040009a,18.0,전분(감자),B0140010005a,5.0,토마토소스,R0380000009a,7.5,고춧가루,R0070000005a,2.0,올리브유,N0170000009a,2.0,,,,,,,,,,,,,,,,,,,,,
434,식사,시금치페스토닭가슴살파스타,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,닭가슴살(삶은것),I008000D029b,100.0,스파게티,A0240020001a,45.0,시금치,F1150000000a,150.0,마늘,F053000B060a,6.0,호두,E0350000001a,80.0,파마산치즈,M0100070009a,100.0,올리브유,N0170000009a,150.0,레몬과즙,H0250000009a,30.0,소금,R0200000009a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,식사,저염김치볶음밥,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,현미밥,A013000A069a,80.0,달걀,J0030000000a,55.0,아보카도,H0640000000a,85.0,배추김치,F2050070009a,40.0,양송이버섯,G0180000000a,10.0,대파,F1910040000a,10.0,청양고추,F0180080000a,10.0,올리브유,N0170000009a,10.0,고춧가루,R0070000005a,2.0,검정깨,E0260010001a,2.0,레몬과즙,H0250000009a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,식사,훈제오리샌드위치,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,오리고기,I040000B030a,160.0,식빵,A0210120009a,70.0,사과(부사),H0500020000a,60.0,청상추,F1010032490a,25.0,양파,F1320000000a,50.0,체다치즈,M0100040009a,18.0,땅콩버터,N0050000009a,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,식사,새우보리리조또,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,시바새우,K6130130000a,70.0,보리,A025002A010a,70.0,달걀,J0030000000a,55.0,당근,F041000B090a,30.0,브로콜리,F0920000000a,30.0,양배추,F1290000000a,60.0,마늘,F053000B060a,10.0,올리브유,N0170000009a,7.5,우유(저지방),M0090040009a,100.0,체다치즈,M0100040009a,18.0,청양고추,F0180080000a,6.0,흑후추,R0410010005a,2.0,사과식초,R0220030009a,2.0,소금,R0200000009a,2.0,,,,,,,,,,,,,,,,,,
438,식사,단호박두부유부초밥,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,단호박,F1980040000a,160.0,연두부,D0150030009a,80.0,유부,D0150040009j,10장,병아리콩,D0210010001a,80.0,양파,F1320000000a,40.0,당근,F041000B090a,25.0,흑후추,R0410010005a,2.0,검정깨,E0260010001a,2.0,파슬리,F1930000000a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,식사,굴볶음밥,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,현미밥,A013000A069a,100.0,굴,K4040010000a,70.0,달걀,J0030000000a,55.0,양파,F1320000000a,45.0,부추,F0910010000a,30.0,당근,F041000B090a,45.0,굴소스,R0080000009a,5.0,사과식초,R0220030009a,7.5,올리브유,N0170000009a,7.5,흑후추,R0410010005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,식사,닭가슴살김치오트밀리조또,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,닭가슴살(삶은것),I008000D029b,100.0,오트밀,A0020000009a,30.0,배추김치,F2050070009a,60.0,양파,F1320000000a,50.0,청양고추,F0180080000a,10.0,올리브유,N0170000009a,5.0,두유(대두),D0170000009a,200.0,흑후추,R0410010005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,식사,참치샐러드샌드위치,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,다랑어(통조림),K039001000Sa,100.0,달걀,J0030000000a,55.0,식빵,A0210120009a,70.0,아보카도,H0640000000a,85.0,상추,F1010020000a,25.0,양파,F1320000000a,30.0,파프리카,F194000C010a,14.0,오이,F1480010000a,30.0,마요네즈,R0150010009a,15.0,옥수수통조림,A030000025Ra,15.0,체다치즈,M0100040009a,18.0,흑후추,R0410010005a,2.0,파슬리,F1930000000a,2.0,올리브유,N0170000009a,5.0,,,,,,,,,,,,,,,,,,
442,식사,파인애플볶음밥,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,현미밥,A013000A069a,100.0,달걀,J0030000000a,110.0,시바새우,K6130130000a,50.0,파인애플,H0920000000a,60.0,파인애플액,H092000252Ra,30.0,파프리카,F194000C010a,40.0,당근,F041000B090a,20.0,깻잎,F049000B140a,10.0,오이,F1480010000a,38.0,코코넛유,N0210000009a,7.5,양조간장,R0010010009a,7.5,멸치액젓,K069001000Ia,5.0,흑후추,R0410010005a,2.0,,,,,,,,,,,,,,,,,,,,,
443,식사,목살플레이트,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,돼지고기목살,I014000D130a,125.0,가지,F0030000000a,50.0,아스파라거스,F1220000000a,80.0,키위,H0900000000a,100.0,새송이버섯,G0230000000a,80.0,방울토마토,F1860010000a,30.0,치커리,F178000B140a,20.0,올리브유,N0170000009a,5.0,소금,R0200000009a,2.0,고추냉이,F021000B090a,2.0,파프리카가루,R0390000005a,2.0,흑후추,R0410010005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,
444,식사,닭가슴살라타투이,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,닭가슴살,I008000D020a,130.0,가지,F0030000000a,60.0,애호박,F1980050000a,100.0,토마토,F1860000000a,180.0,모짜렐라치즈,M0100020009a,30.0,토마토퓨레,F189000000Ra,30.0,로즈마리,R0460000001a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,식사,발사믹드레싱,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,발사믹식초,R0220090009a,30.0,올리브유,N0170000009a,15.0,꿀,C0030000009a,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,식사,김치낫토달복,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,달걀,J0030000000a,110.0,나토,R0100000009a,45.0,배추김치,F2050070009a,60.0,방울토마토,F1860010000a,50.0,애호박,F1980050000a,50.0,아보카도유,N0320000009a,10.0,바질,F0800010000a,2.0,고춧가루,R0070000005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,식사,아몬드검은깨드레싱,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,두유(대두),D0170000009a,190.0,아몬드,E0200000001a,150.0,사과식초,R0220030009a,7.5,검정깨,E0260010001a,15.0,미숫가루,A0250030005a,15.0,소금,R0200000009a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,식사,구운두부샌드위치,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,두부,D0150000009a,150.0,당근,F041000B090a,30.0,양파,F1320000000a,30.0,청상추,F1010032490a,20.0,아보카도,H0640000000a,85.0,토마토,F1860000000a,90.0,체다치즈,M0100040009a,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
